Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
105,6.312,28.526,3.526,0,24.679,7.212,0,5.327,5.920,255,255
105,5.737,18.590,22.917,0,20.994,18.269,0,5.232,5.010,255,255
105,5.510,22.436,11.699,0,24.679,7.212,0,5.017,4.882,255,255
105,5.190,17.628,20.513,0,18.910,16.987,0,3.752,4.797,255,255
105,5.178,34.455,10.577,0,29.808,10.577,0,4.647,4.758,255,255
105,4.653,19.551,17.468,0,21.955,13.782,0,4.400,3.724,255,255
105,4.482,14.423,22.596,0,17.628,20.513,0,3.823,3.850,255,255
105,4.228,17.468,14.904,0,18.910,11.538,0,3.661,3.441,255,255
105,4.123,11.058,23.558,0,14.423,22.596,0,3.500,3.318,255,255
105,4.057,20.833,10.897,0,21.795,7.372,0,3.654,3.572,255,255
105,4.029,17.628,20.513,0,19.551,17.468,0,3.601,3.561,255,255
105,3.924,23.718,4.808,0,21.795,7.372,0,3.205,3.580,255,255
105,3.764,19.551,9.936,0,20.513,6.571,0,3.500,3.348,255,255
105,3.709,15.705,17.788,0,17.468,14.904,0,3.381,3.490,255,255
105,3.548,18.750,15.865,0,20.513,13.141,0,3.245,2.930,255,255
105,3.443,29.006,7.051,0,25.962,7.692,0,3.112,3.144,255,255
105,3.150,19.872,3.686,0,20.513,6.571,0,2.955,2.464,255,255
105,3.084,26.923,10.096,0,29.808,10.577,0,2.924,2.423,255,255
105,3.001,17.788,26.122,0,17.949,24.359,0,1.770,2.685,255,255
105,2.669,21.314,5.288,0,19.872,3.686,0,2.156,2.515,255,255
105,2.587,16.987,28.045,0,15.385,26.122,0,2.503,2.450,255,255
105,2.509,27.083,11.218,0,29.327,11.538,0,2.266,2.197,255,255
105,2.282,21.955,13.782,0,22.436,11.699,0,2.138,1.803,255,255
105,2.189,25.641,9.615,0,25.962,7.692,0,1.950,1.928,255,255
105,2.067,20.833,10.897,0,22.436,11.699,0,1.792,1.598,255,255
105,2.028,24.840,11.218,0,25.641,9.615,0,1.792,1.630,255,255
105,1.962,17.788,26.122,0,17.949,24.359,0,1.770,1.288,255,255
105,1.868,18.910,11.538,0,19.551,9.936,0,1.726,1.484,255,255
105,1.841,18.910,11.538,0,20.353,12.179,0,1.578,1.188,255,255
105,1.800,17.949,24.359,0,18.590,22.917,0,1.578,1.640,255,255
105,1.774,19.551,17.468,0,20.994,18.269,0,1.650,0.964,255,255
105,1.747,24.840,11.218,0,26.122,12.340,0,1.704,1.291,255,255
105,1.708,20.513,13.141,0,21.955,13.782,0,1.578,1.145,255,255
105,1.680,19.551,9.936,0,20.833,10.897,0,1.603,1.441,255,255
105,1.680,17.468,14.904,0,18.750,15.865,0,1.603,1.257,255,255
105,1.641,24.519,12.340,0,25.962,12.821,0,1.520,1.145,255,255
105,1.614,20.513,6.571,0,21.795,7.372,0,1.512,1.311,255,255
105,1.520,26.122,12.340,0,27.083,11.218,0,1.477,1.209,255,255
105,1.481,20.353,12.179,0,20.833,10.897,0,1.369,1.076,255,255
105,1.481,24.679,7.212,0,25.962,7.692,0,1.369,1.090,255,255
105,1.481,25.641,9.615,0,26.923,10.096,0,1.369,0.991,255,255
105,1.387,26.122,13.782,0,27.244,13.782,0,1.122,0.813,255,255
105,1.359,29.808,10.577,0,30.128,11.699,0,1.167,0.735,255,255
105,1.352,18.590,22.917,0,19.551,23.718,0,1.252,0.321,255,255
105,1.321,18.750,15.865,0,18.910,16.987,0,1.133,0.881,255,255
105,1.255,19.231,24.840,0,19.551,23.718,0,1.167,1.196,255,255
105,1.255,24.519,12.340,0,24.840,11.218,0,1.167,0.987,255,255
105,1.227,15.385,22.917,0,14.423,22.596,0,1.014,0.998,255,255
105,1.188,26.923,10.096,0,27.083,11.218,0,1.133,0.646,255,255
105,1.161,29.327,11.538,0,29.808,10.577,0,1.075,0.774,255,255
105,1.028,20.353,12.179,0,20.513,13.141,0,0.975,0.801,255,255
105,1.028,25.962,12.821,0,26.122,13.782,0,0.975,0.801,255,255
105,1.000,29.327,11.538,0,30.128,11.699,0,0.817,0.500,255,255
105,0.907,22.596,14.423,0,21.955,13.782,0,0.907,0.907,255,255
105,0.868,18.109,11.378,0,18.910,11.538,0,0.817,0.809,255,255
105,0.840,18.910,16.987,0,19.551,17.468,0,0.801,0.453,255,255
105,0.840,25.641,14.423,0,26.122,13.782,0,0.801,0.614,255,255
105,0.801,20.994,18.269,0,21.795,18.269,0,0.801,0.481,255,255
105,0.774,27.885,14.103,0,27.244,13.782,0,0.717,0.692,255,255
