Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
114,0.160,9.776,11.378,0,9.936,11.378,0,0.160,0.160,255,255
115,1.548,10.897,34.455,0,10.256,33.173,0,1.433,1.418,255,255
115,0.840,9.776,33.814,0,10.256,33.173,0,0.801,0.840,255,255
115,0.481,10.256,32.692,0,10.256,33.173,0,0.481,0.481,255,255
116,0.840,9.936,16.667,0,10.577,16.186,0,0.801,0.880,255,255
117,3.510,10.096,5.288,0,10.577,3.526,0,1.827,3.156,255,255
118,0.160,10.096,9.776,0,10.256,9.776,0,0.160,0.160,255,255
119,2.708,15.064,5.609,0,13.942,6.891,0,1.704,2.480,255,255
119,2.509,11.218,12.500,0,11.859,10.577,0,2.027,1.765,255,255
119,2.349,11.859,10.577,0,12.179,8.494,0,2.108,1.789,255,255
119,1.962,11.859,8.173,0,12.019,6.410,0,1.770,1.455,255,255
119,1.802,10.256,10.417,0,11.859,10.577,0,1.611,1.612,255,255
119,1.641,12.019,6.410,0,13.462,6.571,0,1.451,1.336,255,255
119,1.548,11.378,5.128,0,12.019,6.410,0,1.433,1.388,255,255
119,1.481,12.179,13.301,0,11.218,12.500,0,1.252,1.336,255,255
119,1.415,13.462,8.494,0,12.179,8.494,0,1.282,1.285,255,255
119,1.321,10.737,8.654,0,11.859,8.173,0,1.220,1.164,255,255
119,1.188,10.096,12.660,0,11.218,12.500,0,1.133,1.224,255,255
119,0.774,14.263,7.532,0,13.942,6.891,0,0.717,0.806,255,255
119,0.707,13.622,5.929,0,13.462,6.571,0,0.661,0.707,255,255
119,0.614,13.462,6.571,0,13.942,6.891,0,0.578,0.227,255,255
119,0.453,11.859,8.173,0,12.179,8.494,0,0.453,0.000,0,0
120,0.547,10.256,0.641,0,10.577,0.962,0,0.453,0.491,255,255
121,0.160,10.256,6.731,0,10.256,6.891,0,0.160,0.160,255,255
122,0.160,10.417,14.263,0,10.417,14.423,0,0.160,0.160,255,255
123,0.160,10.417,25.641,0,10.577,25.641,0,0.160,0.160,255,255
125,0.160,11.058,30.288,0,11.218,30.288,0,0.160,0.160,255,255
126,0.227,11.538,16.506,0,11.699,16.667,0,0.227,0.227,255,255
127,2.802,14.263,2.244,0,12.821,0.321,0,2.404,2.540,255,255
127,1.188,11.699,0.160,0,12.821,0.321,0,1.133,1.224,255,255
127,0.774,13.462,0.000,0,12.821,0.321,0,0.717,0.692,255,255
128,0.774,11.699,29.487,0,12.019,28.846,0,0.717,0.825,255,255
129,3.576,11.859,31.410,0,13.462,34.135,0,3.161,3.335,255,255
130,1.669,12.019,37.500,0,12.179,35.897,0,1.611,1.626,255,255
130,0.774,11.859,35.256,0,12.179,35.897,0,0.717,0.688,255,255
130,0.547,12.660,35.737,0,12.179,35.897,0,0.507,0.566,255,255
131,0.160,11.859,40.865,0,12.019,40.865,0,0.160,0.160,255,255
132,0.387,12.340,15.224,0,12.660,15.385,0,0.358,0.339,255,255
133,0.481,12.340,17.147,0,12.821,17.147,0,0.481,0.481,255,255
134,0.387,12.660,26.122,0,12.981,25.962,0,0.358,0.406,255,255
135,0.321,12.660,28.205,0,12.981,28.205,0,0.321,0.321,255,255
137,0.160,13.462,9.135,0,13.462,9.295,0,0.160,0.160,255,255
138,1.000,13.462,10.897,0,13.942,10.096,0,0.934,0.898,255,255
139,0.160,13.462,15.224,0,13.622,15.224,0,0.160,0.160,255,255
140,0.160,13.622,29.968,0,13.622,30.128,0,0.160,0.160,255,255
141,0.160,13.942,22.115,0,13.942,22.276,0,0.160,0.160,255,255
